2021/06/19 22:31:08.006	[35mDEBUG[0m	endpoint/adminApi.go:10	进入到AdminHandler方法：李三四
2021/06/19 22:49:41.006	[31mERROR[0m	zap@v0.0.1/zap.go:93	[Recovery from panic]	{"time": "2021/06/19 22:49:41.006", "error": "not yet registered swag", "request": "GET /swagger/doc.json HTTP/1.1\r\nHost: localhost:8080\r\nAccept: application/json,*/*\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: zh-CN\r\nAuthorization: Basic YWRtaW46MTIzNDU2\r\nConnection: keep-alive\r\nReferer: http://localhost:8080/swagger/index.html\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0\r\n\r\n", "stack": "goroutine 12 [running]:\nruntime/debug.Stack(0x0, 0xc0003b02c0, 0x152)\n\t/usr/local/go/src/runtime/debug/stack.go:24 +0x9f\ngithub.com/gin-contrib/zap.RecoveryWithZap.func1.1(0xc000314200, 0xc0000ca2d0, 0x1)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:97 +0x2aa\npanic(0xa95ce0, 0xc0003b7640)\n\t/usr/local/go/src/runtime/panic.go:965 +0x1b9\ngithub.com/swaggo/gin-swagger.CustomWrapHandler.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/swaggo/gin-swagger@v1.3.0/swagger.go:94 +0x605\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\nmain.costTime.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/src/github.com/ZongweiBai/learning-go/main.go:144 +0x62\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-contrib/zap.RecoveryWithZap.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:109 +0x79\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-contrib/zap.Ginzap.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:32 +0xe2\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-gonic/gin.(*Engine).handleHTTPRequest(0xc0000a61a0, 0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/gin.go:489 +0x2aa\ngithub.com/gin-gonic/gin.(*Engine).ServeHTTP(0xc0000a61a0, 0xc3b598, 0xc00013c460, 0xc000118500)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/gin.go:445 +0x15c\nnet/http.serverHandler.ServeHTTP(0xc0003e61c0, 0xc3b598, 0xc00013c460, 0xc000118500)\n\t/usr/local/go/src/net/http/server.go:2887 +0xa3\nnet/http.(*conn).serve(0xc00029a8c0, 0xc3ce00, 0xc0002a1780)\n\t/usr/local/go/src/net/http/server.go:1952 +0x8cd\ncreated by net/http.(*Server).Serve\n\t/usr/local/go/src/net/http/server.go:3013 +0x39b\n"}
2021/06/19 22:49:41.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/doc.json	{"status": 500, "method": "GET", "path": "/swagger/doc.json", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:49:41Z", "latency": 0.000496753}
2021/06/19 22:49:58.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/index.html	{"status": 401, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:49:58Z", "latency": 0.000029928}
2021/06/19 22:50:00.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/index.html	{"status": 200, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:00Z", "latency": 0.000181897}
2021/06/19 22:50:03.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/index.html	{"status": 200, "method": "GET", "path": "/swagger/index.html", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:03Z", "latency": 0.000105495}
2021/06/19 22:50:03.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/swagger-ui.css	{"status": 304, "method": "GET", "path": "/swagger/swagger-ui.css", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:03Z", "latency": 0.000400024}
2021/06/19 22:50:03.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/swagger-ui-bundle.js	{"status": 304, "method": "GET", "path": "/swagger/swagger-ui-bundle.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:03Z", "latency": 0.000095633}
2021/06/19 22:50:03.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/swagger-ui-standalone-preset.js	{"status": 304, "method": "GET", "path": "/swagger/swagger-ui-standalone-preset.js", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:03Z", "latency": 0.00007646}
2021/06/19 22:50:04.006	[31mERROR[0m	zap@v0.0.1/zap.go:93	[Recovery from panic]	{"time": "2021/06/19 22:50:04.006", "error": "not yet registered swag", "request": "GET /swagger/doc.json HTTP/1.1\r\nHost: localhost:8080\r\nAccept: application/json,*/*\r\nAccept-Encoding: gzip, deflate\r\nAccept-Language: zh-CN\r\nAuthorization: Basic YWRtaW46MTIzNDU2\r\nConnection: keep-alive\r\nReferer: http://localhost:8080/swagger/index.html\r\nUser-Agent: Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0\r\n\r\n", "stack": "goroutine 12 [running]:\nruntime/debug.Stack(0x0, 0xc0003b0580, 0x152)\n\t/usr/local/go/src/runtime/debug/stack.go:24 +0x9f\ngithub.com/gin-contrib/zap.RecoveryWithZap.func1.1(0xc000314200, 0xc0000ca2d0, 0x1)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:97 +0x2aa\npanic(0xa95ce0, 0xc0003b7820)\n\t/usr/local/go/src/runtime/panic.go:965 +0x1b9\ngithub.com/swaggo/gin-swagger.CustomWrapHandler.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/swaggo/gin-swagger@v1.3.0/swagger.go:94 +0x605\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\nmain.costTime.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/src/github.com/ZongweiBai/learning-go/main.go:144 +0x62\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-contrib/zap.RecoveryWithZap.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:109 +0x79\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-contrib/zap.Ginzap.func1(0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-contrib/zap@v0.0.1/zap.go:32 +0xe2\ngithub.com/gin-gonic/gin.(*Context).Next(...)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/context.go:165\ngithub.com/gin-gonic/gin.(*Engine).handleHTTPRequest(0xc0000a61a0, 0xc000314200)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/gin.go:489 +0x2aa\ngithub.com/gin-gonic/gin.(*Engine).ServeHTTP(0xc0000a61a0, 0xc3b598, 0xc00013c700, 0xc0003e4b00)\n\t/home/zongwei/workspace/golang/pkg/mod/github.com/gin-gonic/gin@v1.7.2/gin.go:445 +0x15c\nnet/http.serverHandler.ServeHTTP(0xc0003e61c0, 0xc3b598, 0xc00013c700, 0xc0003e4b00)\n\t/usr/local/go/src/net/http/server.go:2887 +0xa3\nnet/http.(*conn).serve(0xc00029a8c0, 0xc3ce00, 0xc0002a1780)\n\t/usr/local/go/src/net/http/server.go:1952 +0x8cd\ncreated by net/http.(*Server).Serve\n\t/usr/local/go/src/net/http/server.go:3013 +0x39b\n"}
2021/06/19 22:50:04.006	[34mINFO[0m	zap@v0.0.1/zap.go:46	/swagger/doc.json	{"status": 500, "method": "GET", "path": "/swagger/doc.json", "query": "", "ip": "127.0.0.1", "user-agent": "Mozilla/5.0 (X11; Linux x86_64; rv:89.0) Gecko/20100101 Firefox/89.0", "time": "2021-06-19T14:50:04Z", "latency": 0.000261269}
